# SoFiA source catalogue
# Creator: SoFiA 2.3.0
# Time:    Wed, 03 Mar 2021, 16:12:55
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag           rms           w20           w50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec          freq
#                                                     pix           pix           pix           pix           pix           pix           pix           pix           pix                     Jy/beam       Jy/beam       Jy/beam                                   Jy/beam           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg            Hz

    SoFiA J120054.57-300715.9             1     68.155384    165.053245   2397.466932            65            71           163           168          2388          2406           321  -5.38208e-05   1.15254e-04      0.004849      0.000000             0   2.78125e-05     13.244527      8.873176      2.477928      2.161094    -44.439318      1.619335      1.186356     56.284478    215.255309      0.081697      0.083956      0.282030   4.98302e-04    180.227358    -30.121097   1.08411e+09
    SoFiA J120036.92-301209.1             2    150.060212     60.510057   2384.669336           148           152            58            64          2378          2392           179  -4.45323e-05   1.06325e-04      0.003588      0.000000             0   2.77719e-05     11.618400      5.958959      2.631685      1.365365     21.178751      1.926495      0.102077     -1.903210     64.102340      0.069386      0.102427      0.242595   3.71563e-04    180.153836    -30.202514   1.08373e+09
    SoFiA J120054.63-300720.9             3     67.872559    163.277278   2370.947175            64            72           159           168          2361          2381           813  -9.21372e-05   1.04472e-04      0.007134      0.000000             0   2.70084e-05     17.771074     12.664387      3.167805      2.719469    -23.490749      1.626590      1.416629    -16.665179     96.578503      0.079561      0.082679      0.201439   7.70094e-04    180.227616    -30.122478   1.08332e+09
    SoFiA J120057.68-300748.7             4     53.734629    153.323173   2362.506772            52            56           151           155          2355          2369           231  -8.11546e-05   8.76717e-05      0.003736      0.000000             0   2.51153e-05     12.450827      6.128571      1.966084      1.889808     69.825072      1.582316      1.009902    -65.940021    276.094098      0.068421      0.072286      0.228943   3.81719e-04    180.240348    -30.130197   1.08307e+09
    SoFiA J120057.70-300742.9             5     53.647061    155.404071   2327.963841            50            57           152           158          2318          2340           582  -6.74664e-05   9.51519e-05      0.006761      0.000000             0   2.80573e-05     20.188208     18.033029      2.697361      2.409745    -33.384673      1.717828      1.401833      6.367423     11.293601      0.081123      0.076718      0.262422   6.76874e-04    180.240423    -30.128579   1.08203e+09
    SoFiA J120037.51-294831.3             6    146.653652    566.841548   2288.494127           144           150           564           569          2280          2296           293  -6.02884e-05   1.05647e-04      0.004214      0.000000             0   2.89763e-05     12.594011      8.104406      2.873426      1.952769     82.494752      1.050661      0.301624     84.456767          -nan      0.102231      0.074803      0.246909   4.95994e-04    180.156280    -29.808697   1.08084e+09
    SoFiA J115924.51-295438.8             7    485.815068    435.590241   2217.973590           480           489           432           439          2204          2228           586  -8.14001e-05   9.04699e-05      0.007371      0.000000             0   2.91730e-05     21.826709     11.386652      3.983066      2.620972    -61.892084      2.039082      1.034719    -31.013735     -1.000000      0.094926      0.085951      0.312783   7.06204e-04    179.852112    -29.910792   1.07873e+09
    SoFiA J120040.75-294856.4             8    131.587356    557.843202   2092.742867           130           134           556           560          2087          2098           129  -4.86079e-05   8.24690e-05      0.002283      0.000000             0   3.28138e-05      8.651553      6.010605      2.196851      1.813442    -77.669246      0.000000      0.000000      0.000000     -1.000000      0.133622      0.107507      0.307126   3.72693e-04    180.169797    -29.815679   1.07497e+09
    SoFiA J115908.38-300850.3             9    560.141241    131.394502   1987.607897           556           564           128           137          1977          1998           845  -8.00047e-05   9.74500e-05      0.008326      0.000000             0   2.99656e-05     16.602039     11.280459      4.307279      2.891150    -37.019574      2.803273      0.000000     -5.783414     -1.000000      0.090200      0.094392      0.219296   8.71066e-04    179.784907    -30.147297   1.07182e+09
    SoFiA J115942.83-295021.3            10    400.781609    527.670154   1979.379036           397           404           525           531          1971          1988           404  -8.09953e-05   1.10667e-04      0.005722      0.000000             0   2.77807e-05     16.702336     12.912457      2.589458      2.287607    -53.658164      1.902452      1.783810     22.438864     60.007584      0.074070      0.076889      0.242705   5.58385e-04    179.928464    -29.839237   1.07157e+09
